Image,ID,Name,Type,Material,Style,Substyle,Method,Aging,Origin,Stock,Want,Reference
,1800,The Real McCoy 3-Year,Rum,Molasses & evaporated cane,Rum,,Blended,Lightly Aged,Barbados,,5,
,1810,Santa Teresa Claro,Rum,Molasses & evaporated cane,Spanish rum,,Blended,Lightly Aged,Venezuela,,9,
,1820,Appleton Estate Reserve Blend,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Jamaica,,6,"D+C: Codex, Suderman, Beachbum"
,1830,Appleton Estate Rare Blend 12,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Jamaica,,9,
,1840,Cadenhead Green Label,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Regional Blend,,9,
,1850,Cartavio Solera 12,Rum,Molasses & evaporated cane,Spanish rum,,Blended,Aged,Peru,,9,
,1860,Cartavio 18,Rum,Molasses & evaporated cane,Spanish rum,,Blended,Aged,Peru,,9,
,1870,Chairman’s Reserve,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,St. Lucia,,9,
,1880,Chairman's Reserve The Forgotten Casks,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,St. Lucia,,9,
,1890,Cockspur 12,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,9,
,1900,Denizen Merchant’s Reserva,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Regional Blend,,4,"Suderman, Cove"
,1910,Diplomatico Reserva,Rum,Molasses & evaporated cane,Spanish rum,,Blended,Aged,Venezuela,,9,
,1920,Diplomatico Reserva Exclusiva,Rum,Molasses & evaporated cane,Spanish rum,,Blended,Aged,Venezuela,,9,
,1930,Doorly’s 5 Year,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,9,
,1940,Doorly's 12 Year,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,9,
,1950,Doorly's XO,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,9,
,1960,Dos Maderas 5+3,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Regional Blend,,9,
,1970,Dos Maderas 5+5,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Regional Blend,,9,
,1980,El Dorado 5 Year,Rum,Molasses & evaporated cane,Demerara rum,,Blended,Aged,Guyana,,9,
,1990,El Dorado 8 Year,Rum,Molasses & evaporated cane,Demerara rum,,Blended,Aged,Guyana,,6,Suderman
,2000,El Dorado 12 Year,Rum,Molasses & evaporated cane,Demerara rum,,Blended,Aged,Guyana,0.1,1,Suderman
,2010,Kaniché XO,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,9,
,2020,Mount Gay Black Barrel,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,9,
,2030,Mount Gay XO,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,9,
,2040,Plantation 5 Year,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,9,
,2050,Plantation Grande Reserve,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,9,
,2060,Plantation XO 20th Anniversary,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,6,
,2070,Providencia,Rum,Molasses & evaporated cane,Spanish rum,,Blended,Aged,Regional Blend,,9,
,2080,Pusser’s,Rum,Molasses & evaporated cane,Spanish rum,,Blended,Aged,Regional Blend,,9,
,2090,The Real McCoy 5 Year,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,6,
,2100,The Real McCoy 12 Year,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,6,
,2110,RL Seale Foursquare 9 Year Port Cask Finish,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,5,
,2120,RL Seale's 10 Year,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,9,
,2125,Scarlet Ibis,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Trinidad,,9,
,2130,Appleton Estate 21,Rum,Molasses & evaporated cane,Jamaican rum,,Blended,Long Aged,Jamaica,,9,
,2140,Banks The Endeavour,Rum,Molasses & evaporated cane,Rum,,Blended,Long Aged,Regional Blend,,9,
,2150,Cartavio XO,Rum,Molasses & evaporated cane,Spanish rum,,Blended,Long Aged,Peru,,9,
,2160,El Dorado Special Reserve 15 Year,Rum,Molasses & evaporated cane,Demerara rum,,Blended,Long Aged,Guyana,,6,D+C: Codex
,2170,El Dorado 21 Year,Rum,Molasses & evaporated cane,Demerara rum,,Blended,Long Aged,Guyana,,9,
,2180,El Dorado 25 Year,Rum,Molasses & evaporated cane,Demerara rum,,Blended,Long Aged,Guyana,,9,
,2190,Mount Gay 1703,Rum,Molasses & evaporated cane,Rum,,Blended,Long Aged,Barbados,,9,
,2200,Pusser’s 15,Rum,Molasses & evaporated cane,Rum,,Blended,Long Aged,Regional Blend,,9,
,2210,Santa Teresa 1796,Rum,Molasses & evaporated cane,Spanish rum,,Blended,Long Aged,Venezuela,,4,D+C: WH
,2220,Revelation Rum Smooth Ambler,Rum,Molasses & evaporated cane,Jamaican rum,,Blended,Long Aged,Jamaica,,9,
,2230,St. Lucia Distillers 1931,Rum,Molasses & evaporated cane,Demerara rum,,Blended,Long Aged,St. Lucia,,9,
,2240,Bacardi Heritage 1909,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Lightly Aged,Mexico,,9,
,2250,Caliche,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Lightly Aged,Puerto Rico,,9,
,2260,Caña Brava,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Lightly Aged,Panama,,7,D+C: Codex
,2270,Crusoe Organic White,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Lightly Aged,"California, USA",,9,
,2280,Cruzan Estate Diamond,Rum,Molasses & evaporated cane,Rum,,Column Still,Lightly Aged,US Virgin Islands,,9,
,2290,Don Q Cristal,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Lightly Aged,Puerto Rico,0.1,6,
,2300,Facundo Neo,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Lightly Aged,Bahamas/Puerto Rico,,9,
,2310,Flor de Caña Extra Dry 4 Year,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Lightly Aged,Nicaragua,,4,"D+C: Codex, Suderman"
,2320,Ron Del Barrilito 2 Star,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Lightly Aged,Puerto Rico,,9,
,2330,Scarlett Ibis,Rum,Molasses & evaporated cane,Demerara rum,,Column Still,Lightly Aged,Trinidad,,9,
,2340,Admiral Rodney,Rum,Molasses & evaporated cane,Demerara rum,,Column Still,Aged,St. Lucia,,9,
,2350,Angostura 1824,Rum,Molasses & evaporated cane,Rum,,Column Still,Aged,Trinidad,,9,
,2360,Angostura 1919,Rum,Molasses & evaporated cane,Rum,,Column Still,Aged,Trinidad,,9,
,2370,Angostura 5 Year,Rum,Molasses & evaporated cane,Rum,,Column Still,Aged,Trinidad,,9,
,2380,Angostura 7 Year,Rum,Molasses & evaporated cane,Rum,,Column Still,Aged,Trinidad,,9,
,2390,Bacardi 8,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Aged,Bahamas/Puerto Rico,,9,
,2400,Bacardi Reserva Limitada,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Aged,Bahamas/Puerto Rico,,9,
,2410,Brugal 1888,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Aged,Dominican Republic,,9,
,2420,Brugal Extra Viejo,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Aged,Dominican Republic,,9,
,2430,Caña Brava 7 Year,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Aged,Panama,,9,
,2440,Cruzan Single Barrel,Rum,Molasses & evaporated cane,Rum,,Column Still,Aged,US Virgin Islands,,9,
,2450,Don Pancho Origines 8,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Aged,Panama,,9,
,2460,Don Q Añejo,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Aged,Puerto Rico,,9,
,2470,Don Q Gran Añejo,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Aged,Puerto Rico,,9,
,2480,El Dorado Single Barrel EHP,Rum,Molasses & evaporated cane,Demerara rum,,Column Still,Aged,Guyana,,9,
,2490,El Dorado Single Barrel ICBU,Rum,Molasses & evaporated cane,Demerara rum,,Column Still,Aged,Guyana,,9,
,2500,English Harbour 5,Rum,Molasses & evaporated cane,Rum,,Column Still,Aged,Antigua,,9,
,2510,English Harbour 10,Rum,Molasses & evaporated cane,Rum,,Column Still,Aged,Antigua,,9,
,2520,Facundo Eximo,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Aged,Bahamas/Puerto Rico,,9,
,2530,Facundo Exquisito,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Aged,Bahamas/Puerto Rico,,9,
,2540,Facundo Paraiso,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Aged,Bahamas/Puerto Rico,,9,
,2550,Flor de Caña 12,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Aged,Nicaragua,,9,
,2560,Kirk & Sweeney 12,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Aged,Dominican Republic,,9,
,2570,Kirk & Sweeney 18,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Aged,Dominican Republic,,9,
,2580,Kirk & Sweeney 23,Rum,Molasses & evaporated cane,Spanish rum,,Column Still,Aged,Dominican Republic,,9,
